customer_id,ticket_text,category
CUST-00000,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00001,I was overcharged again this month and nobody explained why.,billing
CUST-00002,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00003,Call quality has been terrible the past few weeks.,service_quality
CUST-00004,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00005,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00006,"Everything works great, no complaints at all this month.",satisfied
CUST-00007,"Great experience overall, keep up the good work.",satisfied
CUST-00008,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00009,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00010,My bill keeps increasing every month for no clear reason.,billing
CUST-00011,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00012,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00013,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00014,"Great experience overall, keep up the good work.",satisfied
CUST-00015,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00016,"Everything works great, no complaints at all this month.",satisfied
CUST-00017,I was overcharged again this month and nobody explained why.,billing
CUST-00018,"Everything works great, no complaints at all this month.",satisfied
CUST-00019,The internet keeps disconnecting several times a day.,service_quality
CUST-00020,Call quality has been terrible the past few weeks.,service_quality
CUST-00021,The billing department never resolves my disputes.,billing
CUST-00022,The internet keeps disconnecting several times a day.,service_quality
CUST-00023,The billing department never resolves my disputes.,billing
CUST-00024,"This is the last straw, I want to cancel my contract.",considering_leaving
CUST-00025,"Your competitor is offering a much better deal, I might switch.",considering_leaving
CUST-00026,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00027,My bill keeps increasing every month for no clear reason.,billing
CUST-00028,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00029,"Everything works great, no complaints at all this month.",satisfied
CUST-00030,My bill keeps increasing every month for no clear reason.,billing
CUST-00031,"Your competitor is offering a much better deal, I might switch.",considering_leaving
CUST-00032,My bill keeps increasing every month for no clear reason.,billing
CUST-00033,I am seriously thinking about switching providers soon.,considering_leaving
CUST-00034,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00035,The billing department never resolves my disputes.,billing
CUST-00036,I was overcharged again this month and nobody explained why.,billing
CUST-00037,"Great experience overall, keep up the good work.",satisfied
CUST-00038,Call quality has been terrible the past few weeks.,service_quality
CUST-00039,"Great experience overall, keep up the good work.",satisfied
CUST-00040,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00041,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00042,My bill keeps increasing every month for no clear reason.,billing
CUST-00043,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00044,Technician never showed up for the scheduled appointment.,service_quality
CUST-00045,"This is the last straw, I want to cancel my contract.",considering_leaving
CUST-00046,The internet keeps disconnecting several times a day.,service_quality
CUST-00047,"Everything works great, no complaints at all this month.",satisfied
CUST-00048,"Everything works great, no complaints at all this month.",satisfied
CUST-00049,"This is the last straw, I want to cancel my contract.",considering_leaving
CUST-00050,If this keeps happening I will cancel my subscription.,considering_leaving
CUST-00051,"This is the last straw, I want to cancel my contract.",considering_leaving
CUST-00052,"Everything works great, no complaints at all this month.",satisfied
CUST-00053,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00054,"Great experience overall, keep up the good work.",satisfied
CUST-00055,"Great experience overall, keep up the good work.",satisfied
CUST-00056,If this keeps happening I will cancel my subscription.,considering_leaving
CUST-00057,Call quality has been terrible the past few weeks.,service_quality
CUST-00058,"This is the last straw, I want to cancel my contract.",considering_leaving
CUST-00059,Call quality has been terrible the past few weeks.,service_quality
CUST-00060,"Great experience overall, keep up the good work.",satisfied
CUST-00061,I am seriously thinking about switching providers soon.,considering_leaving
CUST-00062,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00063,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00064,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00065,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00066,"Great experience overall, keep up the good work.",satisfied
CUST-00067,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00068,"Great experience overall, keep up the good work.",satisfied
CUST-00069,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00070,Call quality has been terrible the past few weeks.,service_quality
CUST-00071,I am seriously thinking about switching providers soon.,considering_leaving
CUST-00072,"Great experience overall, keep up the good work.",satisfied
CUST-00073,If this keeps happening I will cancel my subscription.,considering_leaving
CUST-00074,Call quality has been terrible the past few weeks.,service_quality
CUST-00075,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00076,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00077,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00078,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00079,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00080,Technician never showed up for the scheduled appointment.,service_quality
CUST-00081,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00082,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00083,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00084,"Support resolved my issue quickly, very happy with the service.",satisfied
CUST-00085,Call quality has been terrible the past few weeks.,service_quality
CUST-00086,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00087,"Great experience overall, keep up the good work.",satisfied
CUST-00088,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00089,I was overcharged again this month and nobody explained why.,billing
CUST-00090,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00091,"Everything works great, no complaints at all this month.",satisfied
CUST-00092,Technician never showed up for the scheduled appointment.,service_quality
CUST-00093,The internet keeps disconnecting several times a day.,service_quality
CUST-00094,"Everything works great, no complaints at all this month.",satisfied
CUST-00095,I was overcharged again this month and nobody explained why.,billing
CUST-00096,"Great experience overall, keep up the good work.",satisfied
CUST-00097,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00098,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00099,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00100,Customer support took forever to answer and didn't help at all.,service_quality
CUST-00101,Technician never showed up for the scheduled appointment.,service_quality
CUST-00102,"I think there is a hidden fee on my invoice, very frustrating.",billing
CUST-00103,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00104,Technician never showed up for the scheduled appointment.,service_quality
CUST-00105,I am satisfied with the speed and reliability of my connection.,satisfied
CUST-00106,Technician never showed up for the scheduled appointment.,service_quality
